rownames,UP0042_CTRL,UR16_2319_HP160021451_A,UP0042HHT1,UP0042_HHE1.combined,UP0042_HHE3.combined
1:58000001-58500000,,,,,
1:58500001-59000000,0.9848619547413201,1.6809827557513422,1.6230716958512226,1.0201753932082227,0.9735821236453296
1:59000001-59500000,1.0215844187792744,1.770807340665468,1.7717971700745967,1.170021906826284,1.0729536028451176
1:59500001-60000000,0.972267150042844,1.7530142436872937,1.7379867137175962,1.113840766601231,1.016792612574356
1:60000001-60500000,1.0353806073360234,1.7344486743657448,1.7715680857856917,1.095316611821305,1.0051147078011449
1:60500001-61000000,0.9826428391400924,1.6784522522562213,1.6778594006372383,1.1147164875217728,1.0180323345643976
1:61000001-61500000,1.021940756467189,1.6419250042870526,1.713064965940037,1.0857017175766135,1.0262377765693718
1:61500001-62000000,0.9853064372045535,1.871309820972928,1.9771452751776344,1.1566741786563015,1.0355247587991105
1:62000001-62500000,1.0233090969447607,1.7362411584200408,1.9524256002656097,1.0371695580559506,1.0215372727178005
1:62500001-63000000,1.0122075223933342,1.553103918028938,1.6933746973950958,0.9281745526280342,0.959179943287011
1:63000001-63500000,0.9655298830690516,1.5339103385210788,1.6029930029601487,1.0052323817886328,0.9896507726339376
1:63500001-64000000,1.0085550337234725,1.5174742478425516,1.5919143954086619,1.0220249647296356,1.003695855870313
1:64000001-64500000,1.054831962792709,1.5301573718788395,1.5979995603068433,1.0658416319189201,1.006824982025306
1:64500001-65000000,1.0060898653704033,1.4928542797300874,1.494967072441317,1.0338965354948713,0.9822461393226647
1:65000001-65500000,1.0016394938926496,1.550731722563937,1.5529095969141653,1.1341759719326823,1.0326440097324106
1:65500001-66000000,,,,,
1:66000001-66500000,0.9800134805821736,1.459353280315523,1.4520788141431893,1.0267321682186759,1.0331865561454656
1:66500001-67000000,,,,,
1:67000001-67500000,0.9672263750948941,1.5376783786141415,1.6035300862761772,1.1113743323829564,1.0355425259635564
1:67500001-68000000,1.0402421722036184,1.4718175788427863,1.5605194706929526,1.0059491464699697,1.0202914136512695
1:68000001-68500000,,,,,
1:68500001-69000000,1.0519672283857973,1.478442094740187,1.4973124351919453,1.0802706288251807,0.9965516603299721
1:69000001-69500000,0.9650123572927252,1.4892926055832718,1.4641889234206746,1.0366121401027304,0.9826698369506706
1:69500001-70000000,0.9700110708065958,1.5247868526590076,1.4314144738492889,0.9816630510106292,0.9650374488854087
1:70000001-70500000,0.9298590851170925,1.4936112188778496,1.503747497872562,1.0566553119898356,0.9950133877521736
1:70500001-71000000,1.001337631918934,1.5104065489300889,1.7193020418697114,1.0099104684901907,0.9997136288160929
1:71000001-71500000,1.072743628052947,1.506000225080719,1.4791789484128464,1.004419101264012,0.9908635765219862
1:71500001-72000000,0.9882808366899709,1.4770392214864774,1.4753107280929962,0.9992705131789815,1.0019314090252394
1:72000001-72500000,1.0219109233190058,1.5528840047558796,1.6343781960599084,1.0892324670334326,1.0139990693077252
1:72500001-73000000,0.9454545821063074,1.4250595877052676,1.5563055716429783,1.0153707310348465,0.9055790910552477
1:73000001-73500000,0.9900107100923526,1.5227231824147132,1.5482851740255155,1.0301174623930818,0.9671109327790262
1:73500001-74000000,1.0362055591506003,1.5237614701876436,1.5986642237726345,0.9944134182050735,1.0394599240971523
1:74000001-74500000,1.0435684581232456,1.5976005695999047,1.5893857138677394,1.0084805696961847,0.9600339885485142
1:74500001-75000000,0.995768956358603,1.460542500925362,1.4792323890675427,0.9823478739593007,1.0271801322081104
1:75000001-75500000,1.0371387520531021,1.4913320126411094,1.4874823360546017,0.9614659909483876,0.9633550281645095
1:75500001-76000000,1.0080698232167435,1.4396099897178365,1.4849648804595588,0.9947787403298353,0.9871684260869037
1:76000001-76500000,,,,,
1:76500001-77000000,1.04042007474327,1.5091264782837737,1.4676519484459687,1.1055503663376016,1.0069439635110473
1:77000001-77500000,0.9768827818778382,1.4758007910935198,1.3701106490823463,0.9557762820962111,0.9771224677624228
1:77500001-78000000,0.9936989506948198,1.5229268258667377,1.6087199446146367,1.1136505072643754,1.0440596875182737
1:78000001-78500000,0.9873923504719256,1.5526509409526992,1.7236148782697729,1.0968908248232805,1.032679307018835
1:78500001-79000000,0.9892138409059693,1.213788728412407,1.2432773622036604,0.9463734614685902,1.0117059536882347
1:79000001-79500000,1.0320019877329527,1.2408842455198363,1.2583283357875645,0.9961723059603834,1.0423920373918374
1:79500001-80000000,1.0103731034064105,1.224908782131546,1.2689999962489529,0.9452634804944366,0.9740774286073187
1:80000001-80500000,1.0192555109392947,1.2315169979634153,1.2247828236231295,0.933230449503898,0.9621028539485749
1:80500001-81000000,1.0015625038983604,1.2410664232675674,1.2764045177474714,0.9375332901336507,0.9936452861495119
1:81000001-81500000,1.0027248887322373,1.2683426780467772,1.3054442245532274,0.9720983905875684,0.9790922943985884
1:81500001-82000000,0.9812204209725596,1.2648253553567679,1.31077506068354,0.9749714368055075,1.0128465430895697
1:82000001-82500000,0.9930935629298598,1.2523760777929975,1.3779086711297757,0.9678501845391336,0.9703823684681933
1:82500001-83000000,,,,,
1:83000001-83500000,1.0076841373869583,1.0466555084527986,0.9912892589668956,0.976658941063242,1.0264795560911668
1:83500001-84000000,,,,,
1:84000001-84500000,1.0451481808133856,1.0554917078382924,1.0044068358045155,1.0109535798388491,0.9951804775532677
1:84500001-85000000,0.9666727384574204,1.059418586586831,1.0677714910968517,1.1214227430517687,1.064551253300505
1:85000001-85500000,0.9937784547953349,1.0540245545466158,1.0783324458385684,0.9974078367350249,1.0297817893466172
1:85500001-86000000,1.0099632172536768,1.063147191935363,1.0485707206698371,0.9948030109009016,1.037143451084973
1:86000001-86500000,1.017893100343475,1.0331512113647843,0.9779195910263553,1.0142147918091284,0.9994258141509249
1:86500001-87000000,1.0407601355163159,0.9865871619784652,0.9425669720660949,1.0326101885613639,0.9956517589828479
1:87000001-87500000,1.0072835339723105,0.9900928399933395,0.9883492654236438,0.985823810677857,0.9569582111281716
1:87500001-88000000,1.0018356013587932,1.0096290357802458,0.9580940470577543,1.0203350273403735,1.0559177768333499
1:88000001-88500000,0.9919661045081328,1.0774288271373627,1.1421747568066982,1.0820123070417194,1.0380097959466705
1:88500001-89000000,0.9820974458637267,1.0391129077390056,1.07435428452801,1.0027818993069575,0.988081413329277
1:89000001-89500000,1.0722490838080883,1.0324611103260355,1.1055399787335276,1.1487520593774339,1.064597673200855
1:89500001-90000000,0.9962041493450005,0.9873560199684419,0.9005522268514725,1.1170496305373794,1.0541119281446754
1:90000001-90500000,1.0099374540602999,1.0765882313244084,1.0932170944101136,1.1514818456056697,1.070240942903734
1:90500001-91000000,1.0113698991313036,0.9794433719988351,0.9638561286539472,0.926734159345066,0.9991340734998385
1:91000001-91500000,1.0212837155882264,1.0172156778482377,1.026771351201088,0.9867745702231749,1.0165436579053573
1:91500001-92000000,,,,,
1:92000001-92500000,1.0190861906660744,1.0217803586261822,1.0980037828691398,0.9266763924111997,0.9958698280043974
1:92500001-93000000,,,,,
