rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:51500001-52000000,1.0136999302770717,1.0973636830522127,1.0222516046550094,1.0409289509719017,1.013445700053721
1:52000001-52500000,0.9618334895663069,1.1398233609869561,1.0299122601306623,1.034822454779221,1.0007859761425895
1:52500001-53000000,0.9750945352621674,1.1739667308094592,1.1279749799149368,1.0164654488030311,1.0179605250600623
1:53000001-53500000,1.0285647028771965,1.169258552221942,1.0494250853860334,1.0136398350338485,0.9854543337924124
1:53500001-54000000,1.049272058784366,1.0314734397426095,1.0177441266896081,0.9908401336110866,0.9683546604340727
1:54000001-54500000,1.0494023053060606,0.9985250141366598,1.0339444655253693,0.9666916408832724,0.9950285557473398
1:54500001-55000000,0.9467594935417101,1.0247819320197347,0.979526057612647,0.9901628731707357,1.0166376387037064
1:55000001-55500000,1.0551509407238646,0.8910765921663755,0.9742199672179237,0.9466581318673379,1.0004776049343613
1:55500001-56000000,1.0161661533680035,1.0112954667762513,0.9938022508235566,0.980008819311936,0.9980651420208978
1:56000001-56500000,1.055407073286936,0.9304134322591141,0.9781993560615563,1.000978242152654,1.0142336193871486
1:56500001-57000000,1.0228619634443605,1.0695895946952372,1.0052424681017675,0.9777459927012184,1.0101836595150118
1:57000001-57500000,0.987950414116667,1.0160123194005277,0.9799963736713572,0.9455104164834206,0.9773475938694819
1:57500001-58000000,1.0643791059205874,1.0438036066975205,0.9729025090637942,0.9347211664852788,0.9767251752210527
1:58000001-58500000,,,,,
1:58500001-59000000,1.0084680133274502,0.8826056351458934,0.897498890905641,1.0040331392991495,1.0212807239856927
1:59000001-59500000,0.9953809365945673,0.9992672498795528,1.0135859718087634,1.0100016246802783,1.012132157491997
1:59500001-60000000,0.9970484123164272,0.9751061227796204,0.9654871162559351,0.9767553685951382,1.00890007163761
1:60000001-60500000,1.0019994159618832,1.0053503982403,0.9874172261378601,1.0439152099902174,1.023361941929764
1:60500001-61000000,0.9571772321364567,0.9824923731922254,0.9703972876811457,1.0386915488494362,1.0904926486103579
1:61000001-61500000,1.013388975305125,1.0371090791249233,1.0134628072332321,1.0320027601817507,1.021021578847425
1:61500001-62000000,0.9152862887370492,1.0737056684303847,1.0878093747289859,1.001883625294591,0.9586660159770792
1:62000001-62500000,0.9641768274947685,1.0760556398267367,1.0041668234325474,1.0052066310974603,1.0222977945231597
1:62500001-63000000,1.0030163128227458,1.098019745838145,0.9998557109311215,0.9569105841333079,1.0085819035331558
1:63000001-63500000,0.9955615871068118,1.0427467055768413,1.0715559779376564,0.9807422221027556,1.008439692058846
1:63500001-64000000,1.050957042148946,1.087160105149547,1.0292177291671252,0.9792315411870806,0.9718799301271622
1:64000001-64500000,1.0104277427825181,0.8987052651767359,1.0159397893210003,1.0271650728408763,1.0210425026725636
1:64500001-65000000,1.0090539895122796,1.0150005348841626,0.9954293904891218,0.938660918308359,0.9841306037999474
1:65000001-65500000,1.0814034097523524,1.040235506333104,1.013355805213162,1.005978779724506,1.0036944096903706
1:65500001-66000000,,,,,
1:66000001-66500000,1.0066198713339327,0.9994615226489862,0.9981338525235516,1.0353260815968088,1.048198545733145
1:66500001-67000000,,,,,
1:67000001-67500000,0.989642525894683,1.018394329846949,1.0700343583055674,1.0283288420487318,1.016258643791668
1:67500001-68000000,1.0325583086389276,0.9204410928158187,0.9785870456040067,1.0061443005851434,0.9949998628765291
1:68000001-68500000,,,,,
1:68500001-69000000,0.9714407347726943,0.9833890560614732,1.0101683694982782,0.9388705014034158,0.9524439606649431
1:69000001-69500000,1.0279419383881392,0.9856188905329584,0.9823667736780304,0.9667923758749747,1.035069731144012
1:69500001-70000000,1.0166434162836058,0.9528688027998885,0.9859679310251982,0.9262850941605361,0.9957727329077909
1:70000001-70500000,0.979434839978556,0.8806712151994479,1.00741322469371,0.9753524355043738,0.9999695534214724
1:70500001-71000000,0.9811451027177774,1.051450493505701,1.0733761129981982,0.8824433410825606,0.9766368061985617
1:71000001-71500000,0.9877132255558483,0.9033183346822439,0.9280678747513283,0.9292624387464624,1.0307786870332858
1:71500001-72000000,0.9639794453834755,0.9688487437620381,0.9650610306373875,0.9193232581172021,0.9706895507529026
1:72000001-72500000,1.0419520855868507,0.9341864991811794,0.8988196600617013,1.0519580883807098,0.9478457956837725
1:72500001-73000000,0.888765174479079,0.9410106717899447,0.781583894351236,0.8465073843076104,0.9045729868216996
