rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:86500001-87000000,1.0504598415342228,0.9709410908808183,1.035441650149957,1.051615438807057
1:87000001-87500000,0.982062628349247,0.9803892580789815,1.0098917971994148,1.010222609387756
1:87500001-88000000,1.076023431513449,0.9684338684993624,1.0851822454610918,1.0252176162201148
1:88000001-88500000,1.0311348404858838,1.0668829253603527,1.1129596807762727,1.069360235697889
1:88500001-89000000,0.9450336743375912,1.0990149159343328,1.0482685075546618,1.0586619284408936
1:89000001-89500000,0.9578371683129113,1.0875459526023339,1.055374710314955,1.079367342798615
1:89500001-90000000,1.0489793764632904,1.0530495033220404,1.0808086169335014,1.0827779017765884
1:90000001-90500000,1.048150222635328,1.0564856808109184,1.0904813130874098,1.0562513122710484
1:90500001-91000000,1.027270882559957,1.0217866429857678,1.0377310031351272,1.0117167500718298
1:91000001-91500000,1.03783317323459,1.0465640985736318,0.9871858384588901,0.93910562300726
1:91500001-92000000,,,,
1:92000001-92500000,1.026863532634409,1.0401496753202273,0.9851493067062478,1.0276144048042097
1:92500001-93000000,,,,
1:93000001-93500000,1.0000301028700227,1.0657889288276234,1.083439974152757,1.0344150749173693
1:93500001-94000000,0.9426957647862869,1.054268487559211,1.0793311365994096,1.0523510073792346
1:94000001-94500000,1.0415003511165797,0.9774692358038672,1.0285356372666787,0.9992488574083312
1:94500001-95000000,1.0063362610142426,0.9580027494585075,1.0771583104844644,1.0572236140811957
1:95000001-95500000,0.9938016130957551,1.0044899637135558,1.0496522411377618,1.000618692834532
1:95500001-96000000,0.9748456910098433,0.9961685154075891,0.9621617690054513,0.9638795166473525
1:96000001-96500000,1.084203556268051,1.0274286850860042,1.0337804225125558,1.0361219187703177
1:96500001-97000000,0.9551481705584283,1.0123193682382776,0.997432904151065,1.0740627889796566
1:97000001-97500000,0.9409688665423517,0.9580814241227462,0.9880411133049554,1.0170614660322168
1:97500001-98000000,1.0191395303552642,1.0377913810192545,1.1170559539773135,1.0884669997921963
1:98000001-98500000,0.9662845898049637,1.0192442105396247,1.1664284406253622,1.1647966416765372
1:98500001-99000000,0.9782641634827498,0.9816259255352324,1.0105410995169668,1.029027112536676
1:99000001-99500000,0.9782044339363032,0.9603854544494668,1.3345864725283934,1.0278532580505921
1:99500001-100000000,0.9749018431855488,0.9431808050175738,0.9696948566684049,0.9821518823337689
1:100000001-100500000,,,,
1:100500001-101000000,0.9806276939221199,1.0587331814136485,1.0619422868489845,1.0832581876542782
